hhid,province,district,subdistrict,village,ea,pmt,community,hybrid,elite,poorest10,daymeeting,treated,rank,consumption,consumption_ae,food,nonfood,nonstaple,diversity,pcfloor,tfloor,twall,toilet,water,lighting,troof,fcook,house,credit,hhsize,hhsize2,hhsize_ae,hhage,hhage2,hhmale,hhmarried,hhmalemarr,hhsector1,hhsector2,hhsector3,formal,informal,hheduc2,hheduc3,hheduc4,age04,eschild,jschild,sschild,higheduc2,higheduc3,higheduc4,depratio,ac,computer,radio,tv,dvd,satellite,gas,refrigerator,bicycle,motorcycle,auto,hp,jewelry,chicken,cow
"472657",73,11,148,120,472,1,0,0,0,0,0,0,,198.8482,279.9864,28.5625,.8563603,.4354486,10,8.75,1,1,0,1,1,1,0,1,0,8,64,5.681653,62,3844,1,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0
"472699",73,11,148,120,472,1,0,0,0,0,0,0,,443.2276,564.251,45.06,.8983366,.6049712,11,20.8,1,0,1,1,1,1,1,1,0,5,25,3.927575,55,3025,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1
"472750",73,11,148,120,472,1,0,0,0,0,0,1,,155.5085,211.8247,21.27143,.8632137,.5957018,10,8.571428,1,0,0,1,1,0,0,1,0,7,49,5.138963,63,3969,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,.75,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
"472771",73,11,148,120,472,1,0,0,0,0,0,0,,132.3155,180.7483,17.05,.8711413,.3035191,8,10.5,1,0,0,1,1,0,0,1,0,8,64,5.856343,29,841,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.3333333,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"472867",73,11,148,120,472,1,0,0,0,0,0,0,,510.1518,628.0706,37.5,.9264925,.6733333,7,45,1,0,1,1,1,0,1,1,0,4,16,3.24901,44,1936,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0
"473021",73,11,148,141,473,0,0,1,1,1,0,0,.6140351,284.1857,366.1443,33.48,.8821897,.7162485,10,20.8,1,1,1,0,0,0,0,1,1,5,25,3.880788,35,1225,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1.5,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0
"473163",73,11,148,141,473,0,0,1,1,1,0,0,.5964912,476.7672,671.7849,44.77778,.9060804,.7096774,11,7.777778,1,1,1,1,1,0,1,1,1,9,81,6.38732,45,2025,1,1,1,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0,.2857143,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0
"473211",73,11,148,141,473,0,0,1,1,1,0,1,.0526316,210.9792,267.7321,29.05,.8623087,.6901893,10,15.75,1,0,0,0,0,0,0,1,1,4,16,3.152094,31,961,1,1,1,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"473275",73,11,148,141,473,0,0,1,1,1,0,0,.5789474,480.2143,532.8311,48,.9000446,.7447917,8,27,1,1,1,1,1,0,1,1,0,2,4,1.802501,28,784,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"473448",73,11,148,141,473,0,0,1,1,1,0,0,.4561403,326.5622,469.618,29.44444,.9098351,.7698113,9,7.777778,1,0,0,1,1,0,0,1,0,9,81,6.258405,58,3364,1,1,1,1,0,0,0,1,1,0,0,2,0,1,0,0,0,1,1.25,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"473457",73,11,148,141,473,0,0,1,1,1,0,0,.6315789,673.136,901.2962,94.39286,.8597715,.9042754,12,12,1,1,0,1,1,0,1,1,0,7,49,5.227973,65,4225,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.1666667,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
"473602",73,11,148,141,473,0,0,1,1,1,0,1,.2631579,272.5873,327.9362,61.16667,.775607,.7683924,11,9.333333,1,0,0,0,0,0,0,0,0,3,9,2.493661,39,1521,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"473713",73,11,148,141,473,0,0,1,1,1,0,1,.2105263,319.119,411.1524,26.13,.9181184,.6429392,8,16.8,1,1,0,1,1,0,1,1,0,5,25,3.880788,50,2500,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,.25,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
"473931",73,11,148,141,473,0,0,1,1,1,0,0,.6491228,359.4167,489.7369,36.75,.897751,.7188209,9,18.66667,1,1,1,1,1,0,1,1,0,6,36,4.403385,34,1156,1,1,1,1,0,0,0,1,1,0,0,2,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
"474011",73,11,148,63,474,0,1,0,0,1,0,0,.9444444,868.9303,1183.607,82.21429,.9053845,.8523024,11,16,1,1,1,1,1,0,1,1,0,7,49,5.138963,45,2025,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,.4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"474038",73,11,148,63,474,0,1,0,0,1,0,0,.2916667,142.5556,192.2466,16.91667,.8813328,.679803,9,5.833333,1,0,0,1,1,1,0,1,0,6,36,4.449147,29,841,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,2,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0
